spliced	intron	gene_name
ENSMUSG00000098027.2	ENSMUSG00000098027.2-I	Gm27004
ENSMUSG00000105735.2	ENSMUSG00000105735.2-I	4933415J04Rik
ENSMUSG00000105152.2	ENSMUSG00000105152.2-I	Gm42864
ENSMUSG00000104807.2	ENSMUSG00000104807.2-I	Gm42865
ENSMUSG00000098230.8	ENSMUSG00000098230.8-I	1700095B10Rik
ENSMUSG00000065373.3	ENSMUSG00000065373.3-I	Gm22740
ENSMUSG00000105406.2	ENSMUSG00000105406.2-I	Gm43247
ENSMUSG00000106541.2	ENSMUSG00000106541.2-I	Gm43246
ENSMUSG00000106191.2	ENSMUSG00000106191.2-I	4930557B06Rik
ENSMUSG00000106659.2	ENSMUSG00000106659.2-I	Gm42161
ENSMUSG00000066964.3	ENSMUSG00000066964.3-I	Tmem211
ENSMUSG00000105174.2	ENSMUSG00000105174.2-I	Gm43353
ENSMUSG00000053873.2	ENSMUSG00000053873.2-I	Aym1
ENSMUSG00000063430.10	ENSMUSG00000063430.10-I	Wscd2
ENSMUSG00000085713.2	ENSMUSG00000085713.2-I	Gm15736
ENSMUSG00000053334.7	ENSMUSG00000053334.7-I	Ficd
ENSMUSG00000105031.2	ENSMUSG00000105031.2-I	Gm3511
ENSMUSG00000025825.13	ENSMUSG00000025825.13-I	Iscu
ENSMUSG00000104972.2	ENSMUSG00000104972.2-I	Gm19931
ENSMUSG00000090458.2	ENSMUSG00000090458.2-I	Gm17122
ENSMUSG00000106623.2	ENSMUSG00000106623.2-I	Gm43335
ENSMUSG00000042096.16	ENSMUSG00000042096.16-I	Dao
ENSMUSG00000029592.12	ENSMUSG00000029592.12-I	Usp30
ENSMUSG00000106484.2	ENSMUSG00000106484.2-I	Gm17833
ENSMUSG00000105514.2	ENSMUSG00000105514.2-I	Gm42913
ENSMUSG00000029591.15	ENSMUSG00000029591.15-I	Ung
ENSMUSG00000042010.17	ENSMUSG00000042010.17-I	Acacb
ENSMUSG00000066952.12	ENSMUSG00000066952.12-I	Myo1h
ENSMUSG00000029577.14	ENSMUSG00000029577.14-I	Ube3b
ENSMUSG00000098731.3	ENSMUSG00000098731.3-I	Mir7027
ENSMUSG00000041939.15	ENSMUSG00000041939.15-I	Mvk
ENSMUSG00000086302.2	ENSMUSG00000086302.2-I	Gm13790
ENSMUSG00000041930.8	ENSMUSG00000041930.8-I	Fam222a
ENSMUSG00000002486.16	ENSMUSG00000002486.16-I	Tchp
ENSMUSG00000098656.3	ENSMUSG00000098656.3-I	Mir7028
ENSMUSG00000041870.18	ENSMUSG00000041870.18-I	Ankrd13a
ENSMUSG00000098343.3	ENSMUSG00000098343.3-I	Mir6240
ENSMUSG00000029564.13	ENSMUSG00000029564.13-I	4930519G04Rik
ENSMUSG00000029561.18	ENSMUSG00000029561.18-I	Oasl2
ENSMUSG00000041827.16	ENSMUSG00000041827.16-I	Oasl1
ENSMUSG00000029559.16	ENSMUSG00000029559.16-I	2210016L21Rik
ENSMUSG00000086054.3	ENSMUSG00000086054.3-I	Hnf1aos1
ENSMUSG00000086140.2	ENSMUSG00000086140.2-I	Hnf1aos2
ENSMUSG00000106838.2	ENSMUSG00000106838.2-I	1810017P11Rik
ENSMUSG00000029550.12	ENSMUSG00000029550.12-I	Sppl3
ENSMUSG00000107054.2	ENSMUSG00000107054.2-I	C730045M19Rik
